parameter,lo_bound,hi_bound,lo_npv,hi_npv,baseline_npv,swing,flips_sign
diesel_capex_eur,30000.0,45000.0,-3564.6605256148823,17854.948490329898,3575.20914636671,21419.60901594478,True
annual_hectares,10.0,100.0,1418.2205170092648,14360.152293153933,3575.20914636671,12941.93177614467,False
opex_maintenance_frac_per_yr,0.02,0.06,9715.779157085084,-2565.360864351666,3575.20914636671,12281.14002143675,True
diesel_maint_frac_per_yr,0.03,0.07,-2416.4259351817486,9566.844227915171,3575.20914636671,11983.27016309692,True
capex_main_unit_eur,14000.0,22000.0,8676.249906931518,-2062.783273204921,3575.20914636671,10739.03318013644,True
capex_anchor_eur,5000.0,10000.0,6931.157015159347,219.2612775740729,3575.20914636671,6711.895737585274,False
battery_capacity_kWh,6.0,14.0,5721.427902868402,-1.822114469448337,3575.20914636671,5723.25001733785,True
diesel_litres_per_ha,8.0,20.0,2376.8821300570175,5971.863178986092,3575.20914636671,3594.9810489290744,False
pv_area_m2,10.0,30.0,4313.5176775010905,1360.2835529635693,3575.20914636671,2953.234124537521,False
diesel_price_eur_per_litre,0.8,1.8,2034.5029825399638,4602.346588917875,3575.20914636671,2567.8436063779113,False
capex_battery_eur_per_kWh,300.0,450.0,4930.715729420411,2389.140886194721,3575.20914636671,2541.5748432256896,False
discount_rate,0.05,0.12,4446.33397153226,2756.0669329652274,3575.20914636671,1690.2670385670326,False
