material,span_m,T_horiz_N,sag_m,mass_per_m_kg
steel_6x19_IWRC_8mm,50.0,500.0,1.564972109449229,0.255
steel_6x19_IWRC_8mm,50.0,915.2542372881355,0.8541575436907147,0.255
steel_6x19_IWRC_8mm,50.0,1330.508474576271,0.5874530125847499,0.255
steel_6x19_IWRC_8mm,50.0,1745.7627118644068,0.4476845188930604,0.255
steel_6x19_IWRC_8mm,50.0,2161.016949152542,0.3616454401365258,0.255
steel_6x19_IWRC_8mm,50.0,2576.271186440678,0.30334763483963756,0.255
steel_6x19_IWRC_8mm,50.0,2991.5254237288136,0.26123657755415164,0.255
steel_6x19_IWRC_8mm,50.0,3406.779661016949,0.22939239695999583,0.255
steel_6x19_IWRC_8mm,50.0,3822.0338983050847,0.2044683188585942,0.255
steel_6x19_IWRC_8mm,50.0,4237.28813559322,0.1844296571354893,0.255
steel_6x19_IWRC_8mm,50.0,4652.542372881356,0.16796820271170107,0.255
steel_6x19_IWRC_8mm,50.0,5067.796610169491,0.15420455722276455,0.255
steel_6x19_IWRC_8mm,50.0,5483.050847457627,0.14252574156592565,0.255
steel_6x19_IWRC_8mm,50.0,5898.3050847457625,0.13249140672229,0.255
steel_6x19_IWRC_8mm,50.0,6313.559322033898,0.12377705939837068,0.255
steel_6x19_IWRC_8mm,50.0,6728.813559322034,0.11613831123830806,0.255
steel_6x19_IWRC_8mm,50.0,7144.067796610169,0.1093875969749093,0.255
steel_6x19_IWRC_8mm,50.0,7559.322033898305,0.10337856656195374,0.255
steel_6x19_IWRC_8mm,50.0,7974.576271186441,0.09799535394337695,0.255
steel_6x19_IWRC_8mm,50.0,8389.830508474577,0.09314503279452742,0.255
steel_6x19_IWRC_8mm,50.0,8805.084745762711,0.08875220709341275,0.255
steel_6x19_IWRC_8mm,50.0,9220.338983050848,0.08475506347617001,0.255
steel_6x19_IWRC_8mm,50.0,9635.593220338982,0.08110244438741243,0.255
steel_6x19_IWRC_8mm,50.0,10050.847457627118,0.07775164678820254,0.255
steel_6x19_IWRC_8mm,50.0,10466.101694915254,0.07466674491210537,0.255
steel_6x19_IWRC_8mm,50.0,10881.355932203389,0.07181729707075125,0.255
steel_6x19_IWRC_8mm,50.0,11296.610169491525,0.06917733768376201,0.255
steel_6x19_IWRC_8mm,50.0,11711.864406779661,0.06672458374760817,0.255
steel_6x19_IWRC_8mm,50.0,12127.118644067796,0.06443980433382872,0.255
steel_6x19_IWRC_8mm,50.0,12542.372881355932,0.062306315339787595,0.255
steel_6x19_IWRC_8mm,50.0,12957.627118644068,0.06030957139430739,0.255
steel_6x19_IWRC_8mm,50.0,13372.881355932202,0.05843683379307442,0.255
steel_6x19_IWRC_8mm,50.0,13788.135593220339,0.056676898439639495,0.255
steel_6x19_IWRC_8mm,50.0,14203.389830508475,0.055019871514306706,0.255
steel_6x19_IWRC_8mm,50.0,14618.64406779661,0.05345698337392361,0.255
steel_6x19_IWRC_8mm,50.0,15033.898305084746,0.05198043329489694,0.255
steel_6x19_IWRC_8mm,50.0,15449.152542372882,0.05058325925188683,0.255
steel_6x19_IWRC_8mm,50.0,15864.406779661016,0.04925922816075923,0.255
steel_6x19_IWRC_8mm,50.0,16279.661016949152,0.048002742897412694,0.255
steel_6x19_IWRC_8mm,50.0,16694.91525423729,0.04680876321770555,0.255
steel_6x19_IWRC_8mm,50.0,17110.169491525423,0.04567273817321145,0.255
steel_6x19_IWRC_8mm,50.0,17525.42372881356,0.044590548146247945,0.255
steel_6x19_IWRC_8mm,50.0,17940.677966101695,0.0435584549328938,0.255
steel_6x19_IWRC_8mm,50.0,18355.93220338983,0.04257305859533438,0.255
steel_6x19_IWRC_8mm,50.0,18771.186440677964,0.0416312600535639,0.255
steel_6x19_IWRC_8mm,50.0,19186.4406779661,0.04073022851954306,0.255
steel_6x19_IWRC_8mm,50.0,19601.694915254237,0.03986737308697446,0.255
steel_6x19_IWRC_8mm,50.0,20016.949152542373,0.039040317839949816,0.255
steel_6x19_IWRC_8mm,50.0,20432.20338983051,0.03824688001791769,0.255
steel_6x19_IWRC_8mm,50.0,20847.457627118645,0.037485050767353166,0.255
steel_6x19_IWRC_8mm,50.0,21262.711864406778,0.03675297816342535,0.255
steel_6x19_IWRC_8mm,50.0,21677.966101694914,0.0360489521853351,0.255
steel_6x19_IWRC_8mm,50.0,22093.22033898305,0.035371391373732367,0.255
steel_6x19_IWRC_8mm,50.0,22508.474576271186,0.03471883097272171,0.255
steel_6x19_IWRC_8mm,50.0,22923.728813559323,0.03408991236031173,0.255
steel_6x19_IWRC_8mm,50.0,23338.98305084746,0.033483373609022066,0.255
steel_6x19_IWRC_8mm,50.0,23754.23728813559,0.03289804103008636,0.255
steel_6x19_IWRC_8mm,50.0,24169.491525423728,0.032332821596790184,0.255
steel_6x19_IWRC_8mm,50.0,24584.745762711864,0.03178669612945296,0.255
steel_6x19_IWRC_8mm,50.0,25000.0,0.031258713163746836,0.255
steel_6x19_IWRC_8mm,75.0,500.0,3.5269237769934496,0.255
steel_6x19_IWRC_8mm,75.0,915.2542372881355,1.922788626608037,0.255
steel_6x19_IWRC_8mm,75.0,1330.508474576271,1.3220732791884149,0.255
steel_6x19_IWRC_8mm,75.0,1745.7627118644068,1.0074247314162454,0.255
steel_6x19_IWRC_8mm,75.0,2161.016949152542,0.813773179909236,0.255
steel_6x19_IWRC_8mm,75.0,2576.271186440678,0.682574045873916,0.255
steel_6x19_IWRC_8mm,75.0,2991.5254237288136,0.5878090398013015,0.255
steel_6x19_IWRC_8mm,75.0,3406.779661016949,0.5161509985380234,0.255
steel_6x19_IWRC_8mm,75.0,3822.0338983050847,0.46006653934632497,0.255
steel_6x19_IWRC_8mm,75.0,4237.28813559322,0.41497613813279954,0.255
steel_6x19_IWRC_8mm,75.0,4652.542372881356,0.3779355643296344,0.255
steel_6x19_IWRC_8mm,75.0,5067.796610169491,0.3469657538887738,0.255
steel_6x19_IWRC_8mm,75.0,5483.050847457627,0.3206872612571516,0.255
steel_6x19_IWRC_8mm,75.0,5898.3050847457625,0.2981091536956398,0.255
steel_6x19_IWRC_8mm,75.0,6313.559322033898,0.27850122814465167,0.255
steel_6x19_IWRC_8mm,75.0,6728.813559322034,0.26131354998690176,0.255
steel_6x19_IWRC_8mm,75.0,7144.067796610169,0.24612405651215039,0.255
steel_6x19_IWRC_8mm,75.0,7559.322033898305,0.2326034319780894,0.255
steel_6x19_IWRC_8mm,75.0,7974.576271186441,0.2204909579476956,0.255
