annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
800.0,1.0,1583.0227539359842,-5175.340437479703,-64654.42814135084,15.0
825.4237288135594,1.0,1647.6321518523425,-5175.340437479703,-64654.42814135084,15.0
850.8474576271186,1.0,1712.2415497687005,-5175.340437479703,-64654.42814135084,15.0
876.271186440678,1.0,1776.8509476850584,-5175.340437479703,-64654.42814135084,15.0
901.6949152542372,1.0,1841.4603456014163,-5175.340437479703,-64654.42814135084,15.0
927.1186440677966,1.0,1906.0697435177747,-5175.340437479703,-64654.42814135084,15.0
952.542372881356,1.0,1970.6791414341326,-5175.340437479703,-64654.42814135084,15.0
977.9661016949153,1.0,2035.288539350491,-5175.340437479703,-64654.42814135084,15.0
1003.3898305084746,1.0,2099.8979372668487,-5175.340437479703,-64654.42814135084,15.0
1028.8135593220338,1.0,2164.507335183206,-5175.340437479703,-64654.42814135084,15.0
1054.2372881355932,1.0,2229.1167330995645,-5175.340437479703,-64654.42814135084,15.0
1079.6610169491526,1.0,2293.726131015923,-5175.340437479703,-64654.42814135084,15.0
1105.084745762712,1.0,2358.335528932281,-5175.340437479703,-64654.42814135084,15.0
1130.508474576271,1.0,2422.9449268486383,-5175.340437479703,-64654.42814135084,15.0
1155.9322033898306,1.0,2487.554324764997,-5175.340437479703,-64654.42814135084,15.0
1181.3559322033898,1.0,2552.1637226813546,-5175.340437479703,-64654.42814135084,15.0
1206.7796610169491,1.0,2616.773120597713,-5175.340437479703,-64654.42814135084,15.0
1232.2033898305085,1.0,2681.382518514071,-5175.340437479703,-64654.42814135084,15.0
1257.6271186440677,1.0,2745.991916430429,-5175.340437479703,-64654.42814135084,15.0
1283.0508474576272,1.0,2810.6013143467876,-5175.340437479703,-64654.42814135084,15.0
1308.4745762711864,1.0,2875.210712263145,-5175.340437479703,-64654.42814135084,15.0
1333.8983050847457,1.0,2939.820110179503,-5175.340437479703,-64654.42814135084,15.0
1359.322033898305,1.0,3004.4295080958614,-5175.340437479703,-64654.42814135084,15.0
1384.7457627118642,1.0,3069.038906012219,-5175.340437479703,-64654.42814135084,15.0
1410.1694915254238,1.0,3133.6483039285777,-5175.340437479703,-64654.42814135084,15.0
1435.593220338983,1.0,3198.257701844935,-5175.340437479703,-64654.42814135084,15.0
1461.0169491525423,1.0,3262.8670997612935,-5175.340437479703,-64654.42814135084,15.0
1486.4406779661017,1.0,3327.4764976776514,-5175.340437479703,-64654.42814135084,15.0
1511.864406779661,1.0,3392.08589559401,-5175.340437479703,-64654.42814135084,15.0
