material,frac_MBL,tension_N,v_m_s,KE_J,excl_m,hazardous
steel_6x19_IWRC_8mm,0.05,1620.0,1.367929072183227,5.964545454545454,0.19081235146804099,False
steel_6x19_IWRC_8mm,0.1,3240.0,2.735858144366454,23.858181818181816,0.7632494058721639,False
steel_6x19_IWRC_8mm,0.15,4860.0,4.103787216549681,53.68090909090909,1.717311163212369,False
steel_6x19_IWRC_8mm,0.2,6480.0,5.471716288732908,95.43272727272726,3.0529976234886558,True
steel_6x19_IWRC_8mm,0.25,8100.0,6.839645360916134,149.11363636363635,4.770308786701024,True
steel_6x19_IWRC_8mm,0.3,9720.0,8.207574433099362,214.72363636363636,6.869244652849476,True
steel_6x19_IWRC_8mm,0.35,11340.0,9.575503505282589,292.26272727272726,9.349805221934009,True
steel_6x19_IWRC_8mm,0.39999999999999997,12959.999999999998,10.943432577465813,381.73090909090894,12.21199049395462,True
steel_6x19_IWRC_8mm,0.44999999999999996,14579.999999999998,12.31136164964904,483.1281818181816,15.455800468911315,True
steel_6x19_IWRC_8mm,0.49999999999999994,16199.999999999998,13.679290721832269,596.4545454545454,19.081235146804097,True
steel_6x19_IWRC_8mm,0.5499999999999999,17819.999999999996,15.047219794015493,721.7099999999997,23.08829452763295,True
steel_6x19_IWRC_8mm,0.6,19440.0,16.415148866198724,858.8945454545454,27.476978611397904,True
steel_6x19_IWRC_8mm,0.65,21060.0,17.78307793838195,1008.0081818181818,32.24728739809893,True
steel_6x19_IWRC_8mm,0.7,22680.0,19.151007010565177,1169.050909090909,37.399220887736035,True
steel_6x19_IWRC_8mm,0.75,24300.0,20.518936082748404,1342.0227272727273,42.932779080309224,True
steel_6x19_IWRC_8mm,0.7999999999999999,25919.999999999996,21.886865154931627,1526.9236363636358,48.84796197581848,True
steel_6x19_IWRC_8mm,0.85,27540.0,23.254794227114857,1723.7536363636364,50.0,True
steel_6x19_IWRC_8mm,0.9,29160.0,24.622723299298084,1932.5127272727273,50.0,True
steel_6x19_IWRC_8mm,0.95,30780.0,25.99065237148131,2153.2009090909087,50.0,True
steel_6x19_IWRC_8mm,1.0,32400.0,27.358581443664537,2385.8181818181815,50.0,True
dyneema_sk78_8mm_12strand,0.05,3000.0,6.2466931644857695,22.43717590745911,3.9790525297867507,False
dyneema_sk78_8mm_12strand,0.1,6000.0,12.493386328971539,89.74870362983644,15.916210119147003,True
dyneema_sk78_8mm_12strand,0.15,9000.0,18.74007949345731,201.934583167132,35.811472768080755,True
dyneema_sk78_8mm_12strand,0.2,12000.0,24.986772657943078,358.99481451934577,50.0,True
dyneema_sk78_8mm_12strand,0.25,15000.0,31.233465822428848,560.9293976864777,50.0,True
dyneema_sk78_8mm_12strand,0.3,18000.0,37.48015898691462,807.738332668528,50.0,True
dyneema_sk78_8mm_12strand,0.35,21000.0,43.72685215140039,1099.4216194654964,50.0,True
dyneema_sk78_8mm_12strand,0.39999999999999997,23999.999999999996,49.97354531588615,1435.9792580773824,50.0,True
dyneema_sk78_8mm_12strand,0.44999999999999996,26999.999999999996,56.22023848037192,1817.4112485041874,50.0,True
dyneema_sk78_8mm_12strand,0.49999999999999994,29999.999999999996,62.46693164485769,2243.7175907459105,50.0,True
dyneema_sk78_8mm_12strand,0.5499999999999999,32999.99999999999,68.71362480934346,2714.8982848025516,50.0,True
dyneema_sk78_8mm_12strand,0.6,36000.0,74.96031797382923,3230.953330674112,50.0,True
dyneema_sk78_8mm_12strand,0.65,39000.0,81.20701113831501,3791.8827283605906,50.0,True
dyneema_sk78_8mm_12strand,0.7,42000.0,87.45370430280077,4397.686477861986,50.0,True
dyneema_sk78_8mm_12strand,0.75,45000.0,93.70039746728655,5048.3645791783,50.0,True
dyneema_sk78_8mm_12strand,0.7999999999999999,47999.99999999999,99.9470906317723,5743.9170323095295,50.0,True
dyneema_sk78_8mm_12strand,0.85,51000.0,106.19378379625809,6484.343837255683,50.0,True
dyneema_sk78_8mm_12strand,0.9,54000.0,112.44047696074385,7269.644994016752,50.0,True
dyneema_sk78_8mm_12strand,0.95,57000.0,118.68717012522963,8099.82050259274,50.0,True
dyneema_sk78_8mm_12strand,1.0,60000.0,124.93386328971539,8974.870362983644,50.0,True
uhmwpe_spectra_8mm,0.05,2650.0,6.139591080569423,21.203200483091784,3.8437772977120237,False
uhmwpe_spectra_8mm,0.1,5300.0,12.279182161138847,84.81280193236714,15.375109190848095,True
uhmwpe_spectra_8mm,0.15,7950.0,18.41877324170827,190.82880434782606,34.593995679408216,True
uhmwpe_spectra_8mm,0.2,10600.0,24.558364322277694,339.25120772946855,50.0,True
uhmwpe_spectra_8mm,0.25,13250.0,30.697955402847118,530.0800120772947,50.0,True
uhmwpe_spectra_8mm,0.3,15900.0,36.83754648341654,763.3152173913043,50.0,True
uhmwpe_spectra_8mm,0.35,18550.0,42.97713756398596,1038.9568236714974,50.0,True
uhmwpe_spectra_8mm,0.39999999999999997,21200.0,49.11672864455539,1357.0048309178742,50.0,True
uhmwpe_spectra_8mm,0.44999999999999996,23849.999999999996,55.256319725124804,1717.4592391304343,50.0,True
uhmwpe_spectra_8mm,0.49999999999999994,26499.999999999996,61.39591080569422,2120.3200483091778,50.0,True
uhmwpe_spectra_8mm,0.5499999999999999,29149.999999999996,67.53550188626365,2565.5872584541053,50.0,True
uhmwpe_spectra_8mm,0.6,31800.0,73.67509296683308,3053.260869565217,50.0,True
uhmwpe_spectra_8mm,0.65,34450.0,79.81468404740251,3583.340881642512,50.0,True
uhmwpe_spectra_8mm,0.7,37100.0,85.95427512797193,4155.82729468599,50.0,True
uhmwpe_spectra_8mm,0.75,39750.0,92.09386620854134,4770.720108695651,50.0,True
uhmwpe_spectra_8mm,0.7999999999999999,42400.0,98.23345728911077,5428.019323671497,50.0,True
uhmwpe_spectra_8mm,0.85,45050.0,104.37304836968019,6127.724939613525,50.0,True
uhmwpe_spectra_8mm,0.9,47700.0,110.51263945024962,6869.836956521739,50.0,True
uhmwpe_spectra_8mm,0.95,50350.0,116.65223053081904,7654.355374396134,50.0,True
uhmwpe_spectra_8mm,1.0,53000.0,122.79182161138847,8481.280193236715,50.0,True
