draft_load_N,regime,T_winch_N,T_anchor_N,sag_mid_m,ground_clearance_m,n_augers_required_qin_working,n_augers_required_qin_ultimate,n_augers_required_magnum_working,n_augers_required_magnum_ultimate
200.0,sag-bound,1199.7587219078746,1000.7927664754473,1.400000296628245,0.09999970337175501,3,3,1,1
400.0,sag-bound,1399.0200709742176,1000.7932435084925,1.3999996195484747,0.10000038045152526,3,3,1,1
600.0,sag-bound,1598.4653202466754,1000.7929941138923,1.3999999735281612,0.10000002647183881,3,3,1,1
800.0,sag-bound,1798.0341922958396,1000.79317565428,1.3999997158577044,0.10000028414229556,3,3,1,1
1000.0,draft-bound,1006.1723087191051,1006.1723087191051,1.392406519008483,0.10759348099151711,3,3,1,1
1200.0,draft-bound,1205.1484202508561,1205.1484202508561,1.159973031924869,0.3400269680751311,4,4,1,1
1400.0,draft-bound,1404.41543527303,1404.41543527303,0.9940736146993183,0.5059263853006817,5,5,1,1
1600.0,draft-bound,1603.8649303582688,1603.8649303582688,0.8697071006169729,0.6302928993830271,5,5,1,1
1800.0,draft-bound,1803.4363628454246,1803.4363628454246,0.7730075856137373,0.7269924143862627,6,6,2,2
2000.0,draft-bound,2003.0932866027817,2003.0932866027817,0.6956647319753518,0.8043352680246482,6,6,2,2
2200.0,draft-bound,2202.8124556650605,2202.8124556650605,0.6323941706278438,0.8676058293721562,7,7,2,2
2400.0,draft-bound,2402.578347283005,2402.578347283005,0.5796749172123152,0.9203250827876848,7,7,2,2
2600.0,draft-bound,2602.3802018216197,2602.3802018216197,0.5350703592442623,0.9649296407557377,8,8,2,2
2800.0,draft-bound,2802.210326658785,2802.210326658785,0.49684060054900075,1.0031593994509993,9,9,2,2
3000.0,draft-bound,3002.0630764248,3002.0630764248,0.46371002749118745,1.0362899725088126,9,9,2,2
3200.0,draft-bound,3201.9342146323265,3201.9342146323265,0.43472211518985043,1.0652778848101496,10,10,2,2
3400.0,draft-bound,3401.8205000900816,3401.8205000900816,0.40914551820886796,1.090854481791132,10,10,2,2
3600.0,draft-bound,3601.7194108971253,3601.7194108971253,0.38641148562658006,1.1135885143734199,11,11,3,3
3800.0,draft-bound,3801.62895543912,3801.62895543912,0.3660710516740577,1.1339289483259423,11,11,3,3
4000.0,draft-bound,4001.5475399941374,4001.5475399941374,0.3477650760892492,1.1522349239107508,12,12,3,3
4200.0,draft-bound,4201.473874110505,4201.473874110505,0.33120284850468307,1.1687971514953168,13,13,3,3
4400.0,draft-bound,4401.4069017568845,4401.4069017568845,0.31614653054897657,1.1838534694510234,13,13,3,3
4600.0,draft-bound,4601.345750411844,4601.345750411844,0.30239965813707104,1.197600341862929,14,14,3,3
4800.0,draft-bound,4801.2896928672335,4801.2896928672335,0.2897985192274936,1.2102014807725063,14,14,3,3
5000.0,draft-bound,5001.238118189648,5001.238118189648,0.27820560160114693,1.221794398398853,15,15,3,3
5200.0,draft-bound,5201.1905093769765,5201.1905093769765,0.2675045531519262,1.2324954468480738,15,15,3,3
5400.0,draft-bound,5401.146425975983,5401.146425975983,0.2575962624267869,1.242403737573213,16,16,4,4
5600.0,draft-bound,5601.105490421791,5601.105490421791,0.24839577926606754,1.2516042207339324,17,17,4,4
5800.0,draft-bound,5801.067377201642,5801.067377201642,0.23982987270925946,1.2601701272907406,17,17,4,4
6000.0,draft-bound,6001.031804184438,6001.031804184438,0.23183507742645396,1.268164922573546,18,18,4,4
6200.0,draft-bound,6200.998525627396,6200.998525627396,0.2243561183404528,1.2756438816595472,18,18,4,4
6400.0,draft-bound,6400.967326493171,6400.967326493171,0.21734463068820473,1.2826553693117952,19,19,4,4
6600.0,draft-bound,6600.938017799677,6600.938017799677,0.21075811284331472,1.2892418871566853,19,19,4,4
6800.0,draft-bound,6800.910432790093,6800.910432790093,0.2045590639643841,1.2954409360356158,20,20,4,4
7000.0,draft-bound,7000.884423759125,7000.884423759125,0.1987142695000588,1.3012857304999412,21,21,5,5
