category,conventional_implement,conventional_P50_N,codesigned_implement,codesigned_P50_N,codesigned_over_conventional_P50,codesigned_width_count,conventional_width_count,codesigned_depth_cm,conventional_depth_cm
primary_tillage,subsoiler_single_shank,10980.998986716208,narrow_ripper_1shank,3022.1680645388033,0.2752179531383931,1.0,1.0,15.0,40.0
primary_tillage,chisel_plow_twisted,14174.313447665212,narrow_chisel_4tool,4219.407794408649,0.2976798707032734,4.0,7.0,12.0,18.0
secondary_tillage,disk_harrow_tandem,8428.220290261994,narrow_disk_1p5m,3231.3540848404987,0.38339696561728703,1.5,2.5,8.0,10.0
secondary_tillage,field_cultivator_secondary,3175.3555626181387,narrow_cultivator_6tool,1346.8026042434453,0.42414229766854267,6.0,11.0,8.0,8.0
primary_tillage,sweep_plow,15411.548034885624,narrow_sweep_1p5m,5173.779008783922,0.33570793777967933,1.5,3.0,10.0,12.0
seeding,row_planter,3876.313300976016,codesign_planter_4row,1935.1527949988458,0.499225074121742,4.0,8.0,0.0,0.0
seeding,grain_drill,9302.397675655913,codesign_drill_12row,4650.291898275527,0.49990250475371495,12.0,24.0,0.0,0.0
weeding,rotary_hoe,2251.464091944382,codesign_rotary_hoe_2m,788.2923351936321,0.3501243204429064,2.0,4.0,0.0,0.0
spraying,boom_sprayer,203.94742349731905,codesign_sprayer_1m,142.90130107492163,0.7006771579872404,1.0,1.0,0.0,0.0
mowing,rotary_mower_disc,1452.0847688376102,codesign_mower_1p5m,523.2056554525224,0.3603134380862262,1.5,3.0,0.0,0.0
