library,implement,category,P10_N,P50_N,P90_N
co-designed,narrow_ripper_1shank,primary_tillage,2226.726746985491,3018.614068120971,3828.5168960947863
co-designed,narrow_chisel_4tool,primary_tillage,2789.2059642145928,4209.599047855746,5632.953500415688
co-designed,narrow_disk_1p5m,secondary_tillage,1640.2891040171135,3280.701016874219,4856.803557295729
co-designed,narrow_cultivator_6tool,secondary_tillage,678.093996718262,1367.686387008603,2049.19675014241
co-designed,narrow_sweep_1p5m,primary_tillage,3121.8516122031706,5181.186078377812,7306.955903649696
co-designed,codesign_planter_4row,seeding,1901.5715861475346,1938.6211594510276,2023.2121025122044
co-designed,codesign_drill_12row,seeding,4563.940712979957,4654.939462990598,4856.047760563472
co-designed,codesign_rotary_hoe_2m,weeding,773.4810364034181,788.9822847779549,823.8781659109698
co-designed,codesign_sprayer_1m,spraying,140.1250088924629,142.6993236722236,148.9713588230847
co-designed,codesign_mower_1p5m,mowing,513.3583568490018,522.801887407798,546.0934203996
