id,shape_class,area_ha,span_m,eta_x,eta_best,best_orientation_deg
field_001,rectangle,0.5,30.0,0.8333333333333334,0.8333333333333334,0.0
field_002,rectangle,0.75,30.0,0.8333333333333334,0.8333333333333334,0.0
field_003,rectangle,1.0,30.0,0.8333333333333334,0.8333333333333334,0.0
field_004,rectangle,1.0,30.0,0.9523809523809523,0.9523809523809523,0.0
field_005,rectangle,0.9,30.0,1.0,1.0,0.0
field_006,rectangle,1.6,30.0,0.9523809523809523,0.9523809523809523,0.0
field_007,rectangle,2.0,30.0,0.9523809523809523,0.9523809523809523,0.0
field_008,rectangle,2.4,30.0,0.9523809523809523,1.0,90.0
field_009,rectangle,3.0,30.0,0.9523809523809523,1.0,90.0
field_010,rectangle,8.0,30.0,0.9523809523809523,0.9523809523809523,0.0
field_011,L_shape,0.91,30.0,0.8198198198198198,0.8198198198198198,0.0
field_012,L_shape,1.08,30.0,0.8181818181818182,0.972972972972973,90.0
field_013,L_shape,1.6,30.0,0.9696969696969697,0.9696969696969697,0.0
field_014,L_shape,0.7125,30.0,0.8636363636363636,0.8636363636363636,0.0
field_015,L_shape,2.7,30.0,0.9574468085106383,0.9574468085106383,0.0
field_016,L_shape,1.25,30.0,0.8333333333333334,0.9259259259259259,90.0
field_017,L_shape,2.04,30.0,0.918918918918919,0.9444444444444444,90.0
field_018,L_shape,1.64,30.0,0.9111111111111111,0.9111111111111111,0.0
field_019,L_shape,3.26,30.0,0.9702380952380952,0.9702380952380952,0.0
field_020,L_shape,4.04,30.0,0.9688249400479616,0.9688249400479616,0.0
field_021,irregular_convex,0.9746,30.0,0.7619717621607691,0.8005627920823044,75.0
field_022,irregular_convex,2.1776,30.0,0.8469664630161944,0.8469664630161944,0.0
field_023,irregular_convex,0.315,30.0,0.6735801830700912,0.7124926133663174,105.0
field_024,irregular_convex,0.6753,30.0,0.8047642760605461,0.8123030702487871,90.0
field_025,irregular_convex,1.157,30.0,0.7485502829546837,0.8120232340996746,45.0
field_026,irregular_convex,1.7396,30.0,0.7836398134689596,0.8466333285849411,165.0
field_027,irregular_convex,0.6336,30.0,0.6902647587856181,0.7516051266309199,105.0
field_028,irregular_convex,0.5982,30.0,0.6755244114932358,0.7591140788082349,45.0
field_029,irregular_convex,0.5324,30.0,0.6551898936282777,0.7467761999165832,75.0
field_030,irregular_convex,1.3311,30.0,0.759519747318664,0.8219570115812445,150.0
field_031,irregular_concave,0.9475,30.0,0.6713281661784037,0.75596087051205,90.0
field_032,irregular_concave,1.5483,30.0,0.7000889947159751,0.7767934094352822,120.0
field_033,irregular_concave,0.5072,30.0,0.5779796334446226,0.7064165099603555,30.0
field_034,irregular_concave,1.5839,30.0,0.7393367657101276,0.8145543963346392,120.0
field_035,irregular_concave,0.4182,30.0,0.6257396430731179,0.7428615562119889,150.0
field_036,irregular_concave,1.4087,30.0,0.7054491653414852,0.7887199393877403,45.0
field_037,irregular_concave,0.6243,30.0,0.586909425531718,0.7923307621041968,150.0
field_038,irregular_concave,0.911,30.0,0.7194085303643988,0.7523273782300048,165.0
field_039,irregular_concave,0.3405,30.0,0.44625117092262695,0.6778143380938393,75.0
field_040,irregular_concave,1.2228,30.0,0.745955200878457,0.8082302695153731,120.0
field_041,irregular_concave,1.9288,30.0,0.8005581795400366,0.8142201765972539,105.0
field_042,irregular_concave,0.8595,30.0,0.6453225213057764,0.7586105459645415,75.0
field_043,irregular_concave,0.2593,30.0,0.4761743902824616,0.6429507152417231,135.0
field_044,irregular_concave,2.889,30.0,0.8485551440813078,0.8485551440813078,0.0
field_045,irregular_concave,0.7397,30.0,0.6318498708306451,0.7298178751454539,60.0
field_046,real_shape,1.2225,30.0,0.6114683815648445,0.9081428571428571,90.0
field_047,real_shape,1.76,30.0,0.8962962962962963,0.8962962962962963,0.0
field_048,real_shape,2.0,30.0,0.8443271767810027,0.8443271767810027,0.0
field_049,real_shape,1.1271,30.0,0.896997581526278,0.8969975815262781,90.0
field_050,real_shape,2.1275,30.0,0.8475650238916539,0.8622195441083766,90.0
field_001,rectangle,0.5,50.0,1.0,1.0,0.0
field_002,rectangle,0.75,50.0,1.0,1.0,0.0
field_003,rectangle,1.0,50.0,1.0,1.0,0.0
field_004,rectangle,1.0,50.0,1.0,1.0,0.0
field_005,rectangle,0.9,50.0,1.0,1.0,0.0
field_006,rectangle,1.6,50.0,1.0,1.0,0.0
field_007,rectangle,2.0,50.0,1.0,1.0,0.0
field_008,rectangle,2.4,50.0,1.0,1.0,0.0
field_009,rectangle,3.0,50.0,1.0,1.0,0.0
field_010,rectangle,8.0,50.0,1.0,1.0,0.0
field_011,L_shape,0.91,50.0,0.91,0.91,0.0
field_012,L_shape,1.08,50.0,0.9,0.9,0.0
field_013,L_shape,1.6,50.0,0.8,1.0,90.0
field_014,L_shape,0.7125,50.0,0.8142857142857143,0.890625,90.0
field_015,L_shape,2.7,50.0,1.0,1.0,0.0
field_016,L_shape,1.25,50.0,1.0,1.0,0.0
field_017,L_shape,2.04,50.0,0.8869565217391304,0.8869565217391304,0.0
field_018,L_shape,1.64,50.0,0.7454545454545455,0.7454545454545455,0.0
field_019,L_shape,3.26,50.0,0.8358974358974359,0.8578947368421053,90.0
field_020,L_shape,4.04,50.0,0.9181818181818182,0.9619047619047619,90.0
field_021,irregular_convex,0.9746,50.0,0.6036720231416572,0.6883384767947779,105.0
field_022,irregular_convex,2.1776,50.0,0.7763732470226862,0.7763732470226862,0.0
